TOWNSHIP_RANGE,YEAR,lower,mid,upper
T01N R02E,2021,38.352214203687794,60.01195737096678,106.11285566102532
T01N R03E,2021,16.747485748588943,56.82406022929931,113.53146394705936
T01N R04E,2021,9.71000489881407,25.909760909232823,105.16006933836297
T01N R05E,2021,10.840526047040452,35.87502793770017,101.02142163260726
T01N R06E,2021,20.210359443511376,47.57352780307546,110.68654812423281
T01N R07E,2021,34.75459663192419,59.37022065019514,114.15390763113095
T01N R08E,2021,78.0990842703372,125.4449052260447,191.75829438023897
T01N R09E,2021,92.81501403130962,138.5380049655033,192.04425102629168
T01N R10E,2021,127.44774859833323,209.22674443394556,253.33326540220628
T01N R11E,2021,60.92641211159629,112.41065660594468,204.70915637711877
T01S R02E,2021,14.799809937140774,45.228686347016854,127.37578195323364
T01S R03E,2021,7.671364837097591,34.9978015532971,118.48649365472079
T01S R04E,2021,6.519456730667513,25.687123425121467,117.47869556297172
T01S R05E,2021,7.8751673956262165,25.687123425121467,115.99523121683535
T01S R06E,2021,12.225685220995226,34.9978015532971,92.48137475861309
T01S R07E,2021,19.35507113043738,45.55904870926549,101.89840819412747
T01S R08E,2021,50.17353619302894,75.94113694581624,174.4558837730621
T01S R09E,2021,69.71528781370661,114.4346662938223,212.8583506824865
T01S R10E,2021,70.9099017842263,127.64503035346472,232.32063402427627
T01S R11E,2021,70.9099017842263,116.74266152596189,216.70472656272858
T01S R12E,2021,67.91053473095143,92.50327775289938,176.63877544062478
T02N R01E,2021,34.53994013015016,67.32064551799998,145.64213152471348
T02N R02E,2021,35.37016278640955,50.7268657756481,118.80808739857935
T02N R03E,2021,16.082872135720923,45.55617666839993,108.7682927171436
T02N R04E,2021,7.436570857310961,25.80419199238474,100.35467067301806
T02N R05E,2021,10.525970179247649,25.80419199238474,96.21602296726235
T02N R06E,2021,36.92627257731647,51.66165330110962,101.83796303095497
T02N R07E,2021,59.803454796886996,89.08160745921559,132.96585998614384
T02N R08E,2021,110.37544967399525,143.1830751336481,202.71841216946873
T02N R09E,2021,136.73132843398008,197.59826463722248,278.44483538917103
T02N R10E,2021,143.219393698059,208.20597399125487,274.9972706986013
T02N R11E,2021,72.07164207084678,93.96467746230928,150.13839975984024
T02S R03E,2021,8.15342334558526,22.258867373423104,109.085661867141
T02S R04E,2021,56.083240109029106,89.55786635024087,149.05566503701962
T02S R05E,2021,50.47178485059196,75.31580888850928,141.42504712031334
T02S R06E,2021,17.68659933706785,35.32529187468019,87.3222608743951
T02S R07E,2021,14.741418846588001,35.30250617043936,94.33220400640137
T02S R08E,2021,38.458686976700136,59.44747506270461,130.5265046111802
T02S R09E,2021,56.610863044150605,81.80269470107598,126.71367428792968
T02S R10E,2021,73.80124319886993,109.15452385278218,135.88646058563728
T02S R11E,2021,83.07049848498558,124.72686019417324,187.50760716286263
T02S R12E,2021,78.03431617085981,92.81537433734859,135.4744260948252
T02S R13E,2021,82.92026676972198,111.00936725010112,176.07269738155728
T03N R03E,2021,4.807643548921479,43.531129004536815,134.18477172416073
T03N R04E,2021,12.89350930487844,26.74958519566972,134.20815235214496
T03N R05E,2021,16.22076654922091,29.999045015153996,133.2003542603959
T03N R06E,2021,42.134780615008864,58.40693862635039,139.1318011038443
T03N R07E,2021,76.77558005928428,104.16507929437579,177.33233877114642
T03N R08E,2021,119.54718650996365,146.20679977908347,202.81598627567868
T03N R09E,2021,143.69576116309935,165.09267505636052,223.35359137844327
T03N R10E,2021,139.7779267961372,219.90906643656635,299.97184658276393
T03S R04E,2021,89.29208225531649,127.54565005275248,178.60578578909025
T03S R05E,2021,95.31373936447277,120.1151499092035,169.62418957441824
T03S R06E,2021,55.40096377054765,70.98909872014346,119.90039825163377
T03S R07E,2021,19.53382322717517,35.537682687571795,114.22744865040181
T03S R08E,2021,22.604493370463352,38.889905435061486,109.53552637646118
T03S R09E,2021,48.9537667947408,62.145944454167825,121.81895731164457
T03S R10E,2021,59.326598141569775,117.77834160375353,141.00027624652162
T03S R11E,2021,89.57248139679528,135.80017932597798,187.83143403143603
T03S R12E,2021,131.23611066681204,164.76579955121983,211.94959951412588
T03S R13E,2021,89.57248139679528,112.32106127676413,171.99146025271762
T03S R14E,2021,89.57248139679528,112.32106127676413,171.99146025271762
T04N R04E,2021,12.825665773099926,21.097725048075034,96.52312168167705
T04N R05E,2021,17.727652414865485,24.537569674417195,76.24318503506755
T04N R06E,2021,41.50110808216293,83.30712644853017,125.90793733251694
T04N R07E,2021,83.12182781243676,123.42549938854951,189.07758627040997
T04N R08E,2021,122.76456056908997,148.25400738276605,199.46592294247475
T04N R09E,2021,100.69761385692497,132.7600165513424,192.8903608355998
T04N R10E,2021,125.45082231184965,165.80439712458227,220.6486838216201
T04N R11E,2021,25.667809447504585,42.27240355335387,83.08799028069929
T04S R05E,2021,112.31466743655555,141.31853246252513,180.8539296302245
T04S R06E,2021,113.14092826507793,166.58289026318124,203.92901805684482
T04S R07E,2021,51.24882809497207,81.14944095029627,143.57099395096293
T04S R08E,2021,18.667445139976547,45.0733710897498,98.64291620409088
T04S R09E,2021,25.938215172052317,57.23730318088408,102.3979460251326
T04S R10E,2021,53.61344439400827,89.0348357026601,141.25190048591992
T04S R11E,2021,124.81818582479984,172.63641569543807,232.34842581724962
T04S R12E,2021,151.23584375667414,239.774926021437,289.71935217882873
T04S R13E,2021,130.09383578567048,210.81538927259467,250.13458285802454
T04S R14E,2021,77.31264146884944,154.49538517455758,208.29751642229775
T04S R15E,2021,121.69224269879619,208.14012112490065,269.71225694761364
T05N R04E,2021,4.056601849629424,46.48309991606954,108.2014236863292
T05N R05E,2021,8.719759538797652,45.68602489194837,107.19362559458017
T05N R06E,2021,39.474026813118286,95.20255617442949,146.11292099292453
T05N R07E,2021,82.98290284485664,132.10097527705375,209.54790047194967
T05N R08E,2021,107.84533014148805,158.8168554078063,214.3778422362638
T05N R09E,2021,33.78183297442372,62.21051864133568,146.65786522155867
T05N R10E,2021,12.06348606015187,33.74342070562467,110.89201827421726
T05S R06E,2021,69.90905093058389,166.8758872551474,270.2328007452351
T05S R07E,2021,56.578383836460134,110.05488078168702,218.9488750544623
T05S R08E,2021,33.985635532952344,61.36877455656602,133.50425868160534
T05S R09E,2021,7.530857110209362,33.61965447020462,90.73698137261728
T05S R10E,2021,23.27668065637215,53.010406476966814,112.39534208790457
T05S R11E,2021,107.47492864742888,135.2733227901112,206.66785649439166
T05S R12E,2021,127.26849420180626,150.29139028022632,246.47370681107935
T05S R13E,2021,121.59823282579906,170.48910114032424,246.63107775208326
T05S R14E,2021,121.59823282579906,180.42369519133072,266.8070858680697
T05S R15E,2021,78.0990842703372,129.42911921940393,207.56484608522322
T06N R06E,2021,78.24841080419169,114.60541406871279,187.2786219101399
T06N R07E,2021,102.66808034090208,132.12074270380123,202.4550917190224
T06N R08E,2021,82.13305296945664,123.80380016354938,205.18340725883385
T06N R09E,2021,12.766899156105524,25.815018657651045,108.23895307847988
T06N R10E,2021,17.167683050069964,34.84903298365488,105.16006933836297
T06S R07E,2021,90.36645973815594,145.10681477354075,202.11044982140714
T06S R08E,2021,56.362673711757324,94.11317600338239,146.84150679699368
T06S R09E,2021,18.042629522746257,43.55477159902865,86.59156698050553
T06S R10E,2021,9.260147934314347,25.909760909232823,85.88793078350254
T06S R11E,2021,62.66938489735246,84.81436629252836,136.62291119127394
T06S R12E,2021,83.24807658565486,97.87050029086058,187.0493288183234
T06S R13E,2021,84.59231237932082,90.54927896352898,177.19933407589025
T06S R14E,2021,98.55813661729394,130.4139363843683,195.45989144645537
T06S R15E,2021,76.99479457014301,111.5932475702561,178.92316712374705
T06S R16E,2021,82.91722176334584,111.00936725010112,179.58266734367388
T07N R06E,2021,81.8026079555962,118.42311893851311,197.813283699663
T07N R07E,2021,95.10285640642151,133.5587679075873,193.3546251230031
T07N R08E,2021,86.65401682281585,114.75390906071016,176.34948231153172
T07N R09E,2021,11.9719298903975,28.356724143050425,131.10712991196536
T07S R07E,2021,82.54700277731743,128.4106981049374,205.2944290763315
T07S R08E,2021,41.35489731177905,70.14299285895352,142.26559651653304
T07S R09E,2021,20.511496870183482,46.886953839847244,109.79825244278358
T07S R10E,2021,10.661828055698555,53.62112221995639,142.84122942316174
T07S R11E,2021,40.44083752491831,29.165479251390497,122.40746682680661
T07S R12E,2021,53.46576003393906,51.82560239348688,116.7033993024304
T07S R13E,2021,64.85533800409927,65.8085092457056,116.7033993024304
T07S R14E,2021,76.16477440628596,83.30666279428196,118.74185981862166
T07S R15E,2021,80.50286874411812,93.86763993900652,127.26177291099144
T07S R16E,2021,160.08376369394236,207.52691415709432,248.865227033141
T08N R08E,2021,71.96904181957761,117.2626337453436,157.61803711724016
T08S R07E,2021,25.495204261270455,59.48077766834901,222.58548169258233
T08S R08E,2021,29.070916264453206,50.51099296780543,128.44483022732578
T08S R09E,2021,22.359044081031698,43.0548562571227,120.9208029041574
T08S R10E,2021,19.635592831031694,33.85392453568826,119.63637830844249
T08S R11E,2021,22.77175301127045,15.660787960569792,112.85923484484863
T08S R12E,2021,43.83024089795482,35.55259978732182,133.0771505799294
T08S R13E,2021,56.20903738601564,79.02121652515208,148.022697555117
T08S R14E,2021,99.18277836226825,93.2213394919999,170.82225321639766
T08S R15E,2021,140.16594738618423,155.74396952816315,219.16231085673985
T08S R16E,2021,169.58038906943463,261.28906149009214,334.45501199636243
T08S R17E,2021,149.6040609569812,256.0404899368982,335.47273463117216
T08S R18E,2021,137.76218295737792,207.44692686753527,282.98449406629487
T09S R08E,2021,41.199155118662375,64.58946483451237,115.03915376860549
T09S R09E,2021,25.698579564961836,66.67460958393403,114.20145554034902
T09S R10E,2021,17.31519078852869,33.96390660365178,92.77494847860359
T09S R11E,2021,8.38795597489738,27.43614137315091,92.77494847860359
T09S R12E,2021,12.25515602170821,26.500725196448023,96.64024978896072
T09S R13E,2021,69.92030522002737,91.23753353772157,151.2066708018493
T09S R14E,2021,115.63750858060506,140.0881775071768,201.88168287105208
T09S R15E,2021,153.88402437921656,192.44626940846518,286.98450535490787
T09S R16E,2021,168.46288826354188,270.7398593625375,370.14346541668687
T09S R17E,2021,157.2244687319078,250.4591241195322,359.5644088220218
T09S R18E,2021,137.25102756437133,235.94246880533194,311.20818009124474
T10N R18W,2021,116.03577412264833,184.50899330303616,246.0478276304084
T10N R19W,2021,169.0878310013677,329.39982950303965,476.06440652083967
T10N R20W,2021,169.0878310013677,422.23946615251276,566.7218235448235
T10N R21W,2021,169.0878310013677,363.73643342475333,480.55330855217466
T10N R22W,2021,162.862824406491,381.6246968547208,480.55330855217466
T10N R23W,2021,110.96681211838795,238.69604757031732,394.08881219738765
T10S R08E,2021,37.142759118959574,84.12287970862849,140.5094025795552
T10S R09E,2021,25.454255052265527,63.303514836836186,131.15555480246738
T10S R10E,2021,37.3465616774882,75.4506663359126,136.84891289015167
T10S R11E,2021,6.138705334729127,23.220600174573022,122.76065441090623
T10S R12E,2021,4.517654764349754,1.422907079961301,101.95922186981757
T10S R13E,2021,4.270997813037577,24.317913854531373,121.23136042467799
T10S R14E,2021,102.88601621727496,134.86903326645213,219.90354308230826
T10S R15E,2021,96.83945750072793,162.10121591231206,246.72796980237706
T10S R16E,2021,102.06794740484376,240.43100718712978,361.63491330887354
T10S R17E,2021,101.04496599510578,225.67589828860366,362.83732867332304
T10S R18E,2021,101.29274354300499,226.8894195009407,363.21381724390216
T10S R19E,2021,113.19407659261789,298.807612378473,431.6607312759017
T10S R20E,2021,82.27148956780827,269.5222167707331,403.8235914165619
T10S R21E,2021,82.74569245038482,249.12212798684337,382.89604406058237
T11N R17W,2021,112.16544350931859,370.82046758275044,484.83893922779333
T11N R18W,2021,116.47721746154816,393.66476407704073,489.4856852952334
T11N R19W,2021,116.47721746154816,422.8452518306818,564.9564270655657
T11N R20W,2021,116.47721746154816,387.52471410412664,478.787912072917
T11N R21W,2021,108.82382004317306,309.4894371608823,442.6726504878582
T11N R22W,2021,108.78798699461119,324.53700982222693,477.6283673759395
T11N R23W,2021,98.8745523421458,199.7245277331198,312.37824655863864
T11N R24W,2021,87.06797522026916,166.39962836412215,245.07751465618048
T11S R09E,2021,69.67022694392908,111.15219446164538,200.26757083120066
T11S R10E,2021,46.561615783072824,75.97946822578469,155.2411769665517
T11S R11E,2021,72.23808905684065,113.20610722028123,199.66799716515655
T11S R12E,2021,41.49447335353388,74.21019661047903,147.2529646374152
T11S R13E,2021,6.453473125682701,4.716204994732995,84.05330318364888
T11S R14E,2021,39.266185996687014,32.48546835882642,116.62141995067286
T11S R15E,2021,124.49515168801985,154.1745236254098,229.69627774979165
T11S R16E,2021,151.1086967410462,223.5598191241429,272.09664584431283
T11S R17E,2021,148.48221533460497,199.02291978053486,258.0325668766163
T11S R18E,2021,142.28788205995127,222.9713970824542,262.3432515446927
T11S R19E,2021,150.59309360498335,246.40567345413896,325.4671451547319
T11S R20E,2021,142.0625658266209,235.29615392085725,306.75894518520846
T11S R21E,2021,126.7781846935121,172.52263083156726,225.50789705733706
T11S R22E,2021,19.388082043981875,39.93509386039733,133.5396903467976
T11S R23E,2021,20.93762977799775,53.75769518117126,133.5396903467976
T12N R17W,2021,160.71774802188162,379.5913847349178,457.14246142822805
T12N R18W,2021,185.06208473377637,368.66052477595423,440.46401772203563
T12N R19W,2021,164.8735561211511,364.30742467968406,441.68218195706635
T12N R20W,2021,133.47246101932538,241.5472361850042,350.7129868052187
T12N R21W,2021,141.97744619844596,240.90055108757548,320.85572166975163
T12N R22W,2021,138.48649619844596,241.9978647675338,336.76925327103044
T12N R23W,2021,140.10025106522139,196.85440022742907,276.3566027446678
T12N R24W,2021,114.60622531530306,147.95722137707043,211.09518787192738
T12S R09E,2021,124.10362403555503,172.01083161506668,234.18769846643463
T12S R10E,2021,86.14603221062704,120.56188453505557,192.0078107651859
T12S R11E,2021,111.69186382164314,168.8926839066378,228.92210487711762
T12S R12E,2021,76.21134364419504,109.56981939828408,168.49336715810563
T12S R13E,2021,32.19002154100379,51.633927963225254,121.9415100271844
T12S R14E,2021,27.026307011506823,46.67429860969856,114.78184702146903
T12S R15E,2021,85.68440148883931,129.3042682117348,188.08400220373318
T12S R16E,2021,124.18589919239422,190.20085292743462,228.71643391690205
T12S R17E,2021,126.20621873568406,152.95145932584305,197.17063554040712
T12S R18E,2021,114.7211830998554,167.45209921646276,216.9971947499653
T12S R19E,2021,114.29533379807347,208.57356969547556,217.3475987656274
T12S R20E,2021,105.8436141399176,209.4844532516687,225.3752767784289
T12S R21E,2021,75.10079321637721,104.2436462656092,111.74480963609196
T12S R22E,2021,41.551387782510965,51.537449967973686,98.32301320252843
T12S R23E,2021,30.236677905581264,69.04702337816157,97.21427992605649
T13S R10E,2021,54.432422936754485,71.27818194960369,131.55206082416115
T13S R11E,2021,105.81153409274894,193.5396421745882,270.2062616416379
T13S R12E,2021,84.01371524613309,131.46395959722474,185.6937112482498
T13S R13E,2021,116.96426707722277,172.0000900255934,219.50188930778742
T13S R14E,2021,57.172699146100186,101.98144363307695,135.84709593851485
T13S R15E,2021,57.172699146100186,105.17935481325857,135.84709593851485
T13S R16E,2021,83.76127685748342,131.10913069214232,176.69735404659488
T13S R17E,2021,92.21011644108908,129.97005740379595,193.94700105064922
T13S R18E,2021,66.08639583946037,112.07250649118878,148.15983138539568
T13S R19E,2021,77.272218043922,131.4147162303139,179.0089866130069
T13S R20E,2021,84.256827747629,151.71287842399295,198.17334584270245
T13S R21E,2021,57.25909344759771,106.28201537555132,139.7402232182919
T13S R22E,2021,33.92773040550898,82.52201362521443,122.65166778234901
T13S R23E,2021,12.880527405384768,60.609282986587765,108.96085738987642
T13S R24E,2021,8.932398518611157,40.394288127359005,87.70171866711938
T14S R10E,2021,118.05957868045293,225.25245269441768,388.5581839989116
T14S R11E,2021,177.16582664203364,283.2499951391515,380.7131949834649
T14S R12E,2021,177.16582664203364,325.1744561043762,453.752410944471
T14S R13E,2021,177.16582664203364,309.7063328421241,424.4638664440835
T14S R14E,2021,124.59126343349182,191.88606383253392,256.6170814315993
T14S R15E,2021,81.53236860601119,138.07226573528237,199.89010699805618
T14S R16E,2021,72.27439820645573,107.92072086763508,171.00684554736273
T14S R17E,2021,93.10648328914816,151.25704400358413,199.66589203586102
T14S R18E,2021,87.10714353001099,149.93760937558616,216.54956843087783
T14S R19E,2021,70.4239239355348,130.94374210934535,197.48064879007447
T14S R20E,2021,68.758117681483,113.45974608453409,149.062733628652
T14S R21E,2021,46.825947344963566,92.95093861613977,148.39413257421276
T14S R22E,2021,34.88416227303503,71.88003683787828,129.11847659513032
T14S R23E,2021,20.339925084622216,52.435106533799846,91.29246732965429
T14S R24E,2021,17.32518831346538,67.24211298076996,111.83958881189864
T14S R25E,2021,8.02692361908357,39.52615028355608,110.54724662467456
T15S R10E,2021,150.70298207892327,420.0331944379244,547.5060675545693
T15S R11E,2021,154.19393207892327,443.25476343342257,613.225097424801
T15S R12E,2021,154.19393207892327,443.25476343342257,613.225097424801
T15S R13E,2021,154.19393207892327,335.9037323995678,483.4849853107341
T15S R14E,2021,154.34325861277773,295.52323452204644,402.05692714151536
T15S R15E,2021,86.17988294284048,135.93719773691942,218.20393281377855
T15S R16E,2021,61.49893523396295,116.69533245052509,192.34018691340862
T15S R17E,2021,79.07937887409851,174.06682359227827,244.5748718137884
T15S R18E,2021,95.85589945416972,188.27463115589435,268.93934215285566
T15S R19E,2021,74.92501136571424,138.96960315823605,216.35110531028582
T15S R20E,2021,61.11632765265429,117.68461029377889,204.6116505560968
T15S R21E,2021,50.531842392535665,78.59857846908079,146.2055416802909
T15S R22E,2021,41.700312270888475,57.248894384790646,123.89397146442992
T15S R23E,2021,39.49150851563424,82.8457876436933,167.89036157246326
T15S R24E,2021,32.68067539055254,65.09836363073956,142.08280745039278
T15S R25E,2021,22.29713146625829,53.416517785832674,134.45187231960344
T16S R12E,2021,113.98202242977312,548.081535100392,652.0270540909991
T16S R13E,2021,113.98202242977312,418.93241273314686,547.2210965151884
T16S R14E,2021,114.13134896362759,389.53306998981054,482.5726103065828
T16S R15E,2021,158.5863977901051,290.4928317958529,398.23989975009516
T16S R16E,2021,122.48330770149856,178.7586128000547,238.39982891426226
T16S R17E,2021,139.85464426478592,206.84939686205965,281.50706130762336
T16S R18E,2021,141.96278395780448,212.96100070870975,286.90776711729194
T16S R19E,2021,136.0905153739904,209.75421603088301,281.25425077772735
T16S R20E,2021,120.92590917044909,178.770741738803,242.13021259579867
T16S R21E,2021,80.08140649041108,126.05831525253934,197.28487095250424
T16S R22E,2021,44.854891063734044,75.24606967862078,155.53782427068793
T16S R23E,2021,49.845883605252425,84.7927096290938,170.56053446389816
T16S R24E,2021,55.7275029903614,89.2904441082753,169.85689826689517
T16S R25E,2021,43.11616541010106,71.39512545796853,168.00309314514894
T16S R26E,2021,25.551859400632964,41.96585560010788,139.69068038026106
T17S R14E,2021,140.61017124200077,335.9012000001797,445.7787193506695
T17S R15E,2021,140.30531695333707,291.6093018285185,437.59807631989617
T17S R16E,2021,120.16717274912467,217.8985916069286,331.3872849071426
T17S R17E,2021,121.83504571638946,208.5304350431588,268.0065135057319
T17S R18E,2021,127.92925682350099,220.32467316282197,257.37909695441596
T17S R19E,2021,121.69956610745744,213.1295422855697,257.23960467991486
T17S R20E,2021,128.01145605226088,161.87954675538197,210.56350657060435
T17S R21E,2021,81.66896285306287,127.43457452412075,191.5716266325663
T17S R22E,2021,55.522408310108375,88.37708047849895,132.86275967222238
T17S R23E,2021,59.848996838233376,88.99976108243405,138.84258946911606
T17S R24E,2021,77.12924221612505,113.61704649717731,173.79436612510253
T17S R25E,2021,80.03478527259477,96.13305047236604,134.4142590734011
T17S R26E,2021,42.27212840465007,53.22426859847913,105.93541738830272
T17S R27E,2021,24.152179213054495,43.795838415274815,88.33371075473512
T18S R14E,2021,123.09222598338889,392.2573900352373,464.77555395337055
T18S R15E,2021,123.09222598338889,372.8673071203459,444.4680868145479
T18S R16E,2021,94.21094721559955,269.38790158946546,388.879014795091
T18S R17E,2021,140.426049998319,215.21686345080064,277.8440495950692
